code,year,average,name,Continent_Name,gini_index
AE,2009,141506.753713,United Arab Emirates,Asia,0.6485995435493852
BH,2015,8686.00993415,Bahrain,Asia,0.6001665626200939
BR,2015,37113.4815254,Brazil,South America,0.6411212417266291
CI,2014,911463.395061,Cote d'Ivoire,Africa,0.5906055401550299
CN,2015,57455.0691161,China,Asia,0.5477478101538342
CZ,2015,399086.656076,Czech Republic,Europe,0.335404423244575
DE,2016,40297.0,Germany,Europe,0.4451102318346768
EG,2015,45416.1672445,Egypt,Africa,0.5374125622477279
FR,2014,35777.812999999995,France,Europe,0.4592652157275523
IN,2013,139758.528611,India,Asia,0.6026393232060059
IQ,2007,5598165.27433,Iraq,Asia,0.5913397882
IR,2013,184237681.36099997,Iran,Asia,0.5526711092025443
JO,2013,5631.91462668,Jordan,Asia,0.5444774121430119
KR,2016,32982536.0,Korea,Asia,0.3443734708756001
KW,2013,14982.984681900001,Kuwait,Asia,0.623407777357011
LB,2014,16465825.2341,Lebanon,Asia,0.6621773447253241
MY,2014,50454.6807753,Malaysia,Asia,0.4886557347846701
OM,2010,7634.57508889,Oman,Asia,0.6545370686759999
PL,2015,50794.5,Poland,Europe,0.4114709071471552
PS,2011,24956.318099400003,Palestine,Asia,0.5972575942137729
QA,2012,254851.215558,Qatar,Asia,0.6063437049251492
RU,2015,643350.260535,Russian Federation,Europe,0.545238349162226
RU,2015,643350.260535,Russian Federation,Asia,0.545238349162226
SA,2008,114736.168392,Saudi Arabia,Asia,0.6090172275299999
SY,2004,1448308.69982,Syrian Arab Republic,Asia,0.5816754074120001
TH,2016,229678.7,Thailand,Asia,0.6143444205245939
TR,2016,34634.9925323,Turkey,Europe,0.601326484593333
TR,2016,34634.9925323,Turkey,Asia,0.601326484593333
US,2014,67454.5059401,USA,North America,0.5974275745550086
